seed,ws,origin_time_s,greedy_time_s,trapezoid_time_s,trapezoid_solutions_totg_time_s,totg_time_s
10,3,nan,4.88532213302,3.99786353089,4.04829211639,4.04829211639
11,3,nan,6.2506891836,6.2506891836,6.29465930612,6.27671138721
12,3,nan,6.44482441748,6.40918978586,6.60777865192,6.60777865192
13,3,nan,4.9589195875,4.78366615763,4.82962335234,4.78368140628
14,3,nan,5.1838611377,4.71778140145,4.74304275614,4.74304275614
