rate,10,11,12
r1,0.9526670493094656,1.2890610341983244,1.4843136097615393
r2,1.2206534710367185,1.1122569602506032,1.2230181718823894
r3,0.7241152405297834,1.1123048977748762,1.001578140109525
r4,1.262059991007535,1.5492145730286995,0.5478527227847965
r5,1.2538674337798057,1.8721787458416954,1.0171899679667789
r6,1.5472485428830733,0.9845170529148485,1.5400023074445075
r7,1.4381523228440307,1.143436391200118,1.5649014555437282
r8,0.8686110749105335,1.3535053148639937,0.9511349479010593
r9,1.1983706280243807,1.5747857271902248,1.2271890010043687
r10,1.159545712358344,1.305691286225902,0.9277349777311863
